universo,painel,ano,setor_bndes,valor_real_jun2026,valor_total_verde_real_jun2026,participacao_verde_estrito_pct
Desembolsos,A. Desembolsos realizados,2018,Agropecuária,74427731.034929,1504260059.923403,4.947796795104622
Desembolsos,A. Desembolsos realizados,2018,Comércio e Serviços,265486624.519283,1504260059.923403,17.648984480303334
Desembolsos,A. Desembolsos realizados,2018,Indústria,101059184.410923,1504260059.923403,6.718199007162959
Desembolsos,A. Desembolsos realizados,2018,Infraestrutura,1063286519.958268,1504260059.923403,70.68501971742909
Desembolsos,A. Desembolsos realizados,2019,Agropecuária,51610669.657072,1934995750.449387,2.667223927757249
Desembolsos,A. Desembolsos realizados,2019,Comércio e Serviços,276334277.60717,1934995750.449387,14.280872582949788
Desembolsos,A. Desembolsos realizados,2019,Indústria,310333031.295396,1934995750.449387,16.037917975960603
Desembolsos,A. Desembolsos realizados,2019,Infraestrutura,1296717771.889749,1934995750.449387,67.01398551333236
Desembolsos,A. Desembolsos realizados,2020,Agropecuária,49646443.744312,1626058999.080762,3.053176039269052
Desembolsos,A. Desembolsos realizados,2020,Comércio e Serviços,279452272.747635,1626058999.080762,17.185863053284905
Desembolsos,A. Desembolsos realizados,2020,Indústria,175166284.378382,1626058999.080762,10.772443341687257
Desembolsos,A. Desembolsos realizados,2020,Infraestrutura,1121793998.210433,1626058999.080762,68.98851756575878
Desembolsos,A. Desembolsos realizados,2021,Agropecuária,54156016.379416,1169802715.704001,4.629499970584722
Desembolsos,A. Desembolsos realizados,2021,Comércio e Serviços,221315262.117696,1169802715.704001,18.91902447708936
Desembolsos,A. Desembolsos realizados,2021,Indústria,230382486.110726,1169802715.704001,19.694131584579125
Desembolsos,A. Desembolsos realizados,2021,Infraestrutura,663948951.096163,1169802715.704001,56.75734396774679
Desembolsos,A. Desembolsos realizados,2022,Agropecuária,126725654.639645,2116312924.838992,5.988039535754677
Desembolsos,A. Desembolsos realizados,2022,Comércio e Serviços,167889456.677139,2116312924.838992,7.933111153205849
Desembolsos,A. Desembolsos realizados,2022,Indústria,832415691.677223,2116312924.838992,39.33329905550488
Desembolsos,A. Desembolsos realizados,2022,Infraestrutura,989282121.844985,2116312924.838992,46.74555025553459
Desembolsos,A. Desembolsos realizados,2023,Agropecuária,103835882.282759,3732473844.474602,2.7819587386117464
Desembolsos,A. Desembolsos realizados,2023,Comércio e Serviços,346273808.782785,3732473844.474602,9.277327135068722
Desembolsos,A. Desembolsos realizados,2023,Indústria,1112871383.273872,3732473844.474602,29.815919136883444
Desembolsos,A. Desembolsos realizados,2023,Infraestrutura,2169492770.135186,3732473844.474602,58.12479498943609
Desembolsos,A. Desembolsos realizados,2024,Agropecuária,218710132.418739,4617645830.73012,4.736399031801831
Desembolsos,A. Desembolsos realizados,2024,Comércio e Serviços,230267498.660929,4617645830.73012,4.986686010618537
Desembolsos,A. Desembolsos realizados,2024,Indústria,742472386.654947,4617645830.73012,16.07902411470892
Desembolsos,A. Desembolsos realizados,2024,Infraestrutura,3426195812.995505,4617645830.73012,74.19789084287072
Desembolsos,A. Desembolsos realizados,2025,Agropecuária,363998812.854114,11840339719.328325,3.0742260904889207
Desembolsos,A. Desembolsos realizados,2025,Comércio e Serviços,2059539613.301863,11840339719.328325,17.394261162455024
Desembolsos,A. Desembolsos realizados,2025,Indústria,3200799071.837209,11840339719.328325,27.033000299916925
Desembolsos,A. Desembolsos realizados,2025,Infraestrutura,6216002221.335139,11840339719.328325,52.49851244713913
Contratações,B. Valor contratado,2002,Agropecuária,0.0,50710357.210211,0.0
Contratações,B. Valor contratado,2002,Comércio e Serviços,36093610.119718,50710357.210211,71.17601236784468
Contratações,B. Valor contratado,2002,Indústria,0.0,50710357.210211,0.0
Contratações,B. Valor contratado,2002,Infraestrutura,14616747.090493,50710357.210211,28.823987632155315
Contratações,B. Valor contratado,2003,Agropecuária,0.0,158489912.746679,0.0
Contratações,B. Valor contratado,2003,Comércio e Serviços,115673426.508376,158489912.746679,72.9847247081659
Contratações,B. Valor contratado,2003,Indústria,2141032.133514,158489912.746679,1.3508948906648086
Contratações,B. Valor contratado,2003,Infraestrutura,40675454.104789,158489912.746679,25.664380401169293
Contratações,B. Valor contratado,2004,Agropecuária,0.0,704926457.668543,0.0
Contratações,B. Valor contratado,2004,Comércio e Serviços,126456200.920826,704926457.668543,17.93892108108188
Contratações,B. Valor contratado,2004,Indústria,0.0,704926457.668543,0.0
Contratações,B. Valor contratado,2004,Infraestrutura,578470256.747717,704926457.668543,82.06107891891811
Contratações,B. Valor contratado,2005,Agropecuária,0.0,95924305.945491,0.0
Contratações,B. Valor contratado,2005,Comércio e Serviços,84644445.058891,95924305.945491,88.24087307651746
Contratações,B. Valor contratado,2005,Indústria,0.0,95924305.945491,0.0
Contratações,B. Valor contratado,2005,Infraestrutura,11279860.8866,95924305.945491,11.759126923482546
Contratações,B. Valor contratado,2006,Agropecuária,6508797.503148,1586146419.547949,0.4103528793390338
Contratações,B. Valor contratado,2006,Comércio e Serviços,184786562.338821,1586146419.547949,11.650031804219253
