universo,setor_bndes,territorio,tipo_territorio,valor_acumulado_real_jun2026,valor_medio_anual_real_jun2026,valor_medio_anual_milhoes,participacao_total_setor_pct
Desembolsos,Comércio e Serviços,Sem identificação territorial,Residual,0.0,0.0,0.0,0.0
Desembolsos,Indústria,AC,UF,7988229.947443,332842.9144767917,0.33284291447679165,0.09020027858983544
Desembolsos,Indústria,AL,UF,261497268.742451,10895719.530935459,10.895719530935459,2.9527350422104823
Desembolsos,Indústria,AM,UF,38591782.90127,1607990.9542195834,1.6079909542195834,0.43576481797287925
Desembolsos,Indústria,AP,UF,1075586.555136,44816.106464,0.044816106464,0.012145144488711635
Desembolsos,Indústria,BA,UF,268433401.686403,11184725.070266793,11.184725070266792,3.031055412054226
Desembolsos,Indústria,CE,UF,10124269.00275,421844.54178125,0.42184454178125,0.11431967914979724
Desembolsos,Indústria,DF,UF,17505750.343578,729406.26431575,0.72940626431575,0.19766876621025187
Desembolsos,Indústria,ES,UF,56296052.2871,2345668.8452958334,2.345668845295833,0.635675191276859
Desembolsos,Indústria,GO,UF,33931409.08143,1413808.71172625,1.41380871172625,0.3831415184875031
Desembolsos,Indústria,MA,UF,11333082.761509,472211.78172954166,0.47221178172954165,0.12796917829049106
Desembolsos,Indústria,MG,UF,956296614.186795,39845692.25778312,39.84569225778313,10.798164497227097
Desembolsos,Indústria,MS,UF,122695692.514721,5112320.521446709,5.1123205214467085,1.3854365384340472
Desembolsos,Indústria,MT,UF,1077432876.186475,44893036.50776979,44.89303650776979,12.165992495618651
Desembolsos,Indústria,PA,UF,179074345.589565,7461431.066231875,7.461431066231875,2.0220444287087154
Desembolsos,Indústria,PB,UF,6090476.57662,253769.85735916666,0.2537698573591667,0.06877151603927475
Desembolsos,Indústria,PE,UF,258241354.948225,10760056.456176043,10.760056456176041,2.9159704105917243
Desembolsos,Indústria,PI,UF,5930498.106157,247104.08775654167,0.24710408775654166,0.0669650955056799
Desembolsos,Indústria,PR,UF,473708469.588497,19737852.89952071,19.737852899520707,5.348949167509165
Desembolsos,Indústria,RJ,UF,258945693.459707,10789403.89415446,10.789403894154459,2.9239235529493204
Desembolsos,Indústria,RN,UF,1630342.4603,67930.93584583333,0.06793093584583333,0.018409252748535384
Desembolsos,Indústria,RO,UF,1071661.015026,44652.54229275,0.04465254229275,0.012100818672621312
Desembolsos,Indústria,RR,UF,1071661.015026,44652.54229275,0.04465254229275,0.012100818672621312
Desembolsos,Indústria,RS,UF,469644921.780523,19568538.40752179,19.568538407521793,5.303065017108651
Desembolsos,Indústria,SC,UF,127537819.83465,5314075.82644375,5.31407582644375,1.4401121344169663
Desembolsos,Indústria,SE,UF,5041358.973345,210056.623889375,0.210056623889375,0.0569252496308827
Desembolsos,Indústria,SP,UF,4200253278.948762,175010553.28953174,175.01055328953174,47.42778042215985
Desembolsos,Indústria,TO,UF,4659510.862507,194146.28593779166,0.19414628593779168,0.052613555275161886
Desembolsos,Indústria,Sem identificação territorial,Residual,0.0,0.0,0.0,0.0
Desembolsos,Infraestrutura,AC,UF,145049068.409084,6043711.183711833,6.043711183711833,0.40971162850502924
Desembolsos,Infraestrutura,AL,UF,11463244.180818,477635.17420075,0.47763517420075,0.032379556054974334
Desembolsos,Infraestrutura,AM,UF,1280653097.922191,53360545.74675796,53.36054574675796,3.617385978790962
Desembolsos,Infraestrutura,AP,UF,269202.488399,11216.770349958333,0.011216770349958334,0.0007604005398262389
Desembolsos,Infraestrutura,BA,UF,924148540.667049,38506189.19446038,38.506189194460376,2.6103883860141366
Desembolsos,Infraestrutura,CE,UF,646124000.729985,26921833.363749374,26.921833363749375,1.825068712669429
Desembolsos,Infraestrutura,DF,UF,42716420.09199,1779850.83716625,1.77985083716625,0.12065857596847628
Desembolsos,Infraestrutura,ES,UF,839982544.299264,34999272.679136,34.999272679136,2.372649613784739
Desembolsos,Infraestrutura,GO,UF,974837610.208586,40618233.75869108,40.61823375869108,2.753566839051117
Desembolsos,Infraestrutura,MA,UF,71543627.440418,2980984.476684083,2.980984476684083,0.20208510422901146
Desembolsos,Infraestrutura,MG,UF,6415400139.582072,267308339.149253,267.308339149253,18.12120593071627
Desembolsos,Infraestrutura,MS,UF,1273323144.947894,53055131.03949558,53.055131039495585,3.59668148890417
Desembolsos,Infraestrutura,MT,UF,965670176.84899,40236257.36870792,40.23625736870792,2.7276721256815812
Desembolsos,Infraestrutura,PA,UF,424106098.977431,17671087.457392957,17.671087457392957,1.1979477178088254
Desembolsos,Infraestrutura,PB,UF,39879465.384524,1661644.3910218333,1.6616443910218333,0.11264519576590401
Desembolsos,Infraestrutura,PE,UF,620079774.914834,25836657.288118083,25.836657288118083,1.7515031097399172
Desembolsos,Infraestrutura,PI,UF,34804725.188994,1450196.88287475,1.45019688287475,0.09831087364611911
