universo,bloco_tematico,territorio,tipo_territorio,valor_real_jun2026,valor_total_bloco_real_jun2026,participacao_total_bloco_pct,classe_mapa
Contratações,Energia e eficiência,DF,UF,412670.378234,3937733591.151132,0.010479895825389308,>0–1%
Contratações,Energia e eficiência,ES,UF,6556924.258352,3937733591.151132,0.16651518206022645,>0–1%
Contratações,Energia e eficiência,GO,UF,938987.36229,3937733591.151132,0.02384588343914608,>0–1%
Contratações,Energia e eficiência,MA,UF,880182.821051,3937733591.151132,0.022352523365952063,>0–1%
Contratações,Energia e eficiência,MG,UF,9183150.591905,3937733591.151132,0.2332090371106202,>0–1%
Contratações,Energia e eficiência,MS,UF,1611436138.532969,3937733591.151132,40.922934506137885,>20%
Contratações,Energia e eficiência,MT,UF,7967904.084652,3937733591.151132,0.20234746460647973,>0–1%
Contratações,Energia e eficiência,PA,UF,21466755.711168,3937733591.151132,0.5451551054496946,>0–1%
Contratações,Energia e eficiência,PB,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,PE,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,PI,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,PR,UF,3837838.44218,3937733591.151132,0.09746313084268535,>0–1%
Contratações,Energia e eficiência,RJ,UF,11444784.287433,3937733591.151132,0.29064394587667636,>0–1%
Contratações,Energia e eficiência,RN,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,RO,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,RR,UF,0.0,3937733591.151132,0.0,0%
Contratações,Energia e eficiência,RS,UF,45408266.372022,3937733591.151132,1.1531574018634316,>1–5%
Contratações,Energia e eficiência,SC,UF,8471220.975582,3937733591.151132,0.21512935752226897,>0–1%
Contratações,Energia e eficiência,SE,UF,263406.319338,3937733591.151132,0.00668928746042968,>0–1%
Contratações,Energia e eficiência,SP,UF,2178103829.718913,3937733591.151132,55.31364119232302,>20%
Contratações,Energia e eficiência,TO,UF,2274693.290506,3937733591.151132,0.057766561344263785,>0–1%
Contratações,Energia e eficiência,Sem identificação territorial,Residual,529712.80811,3937733591.151132,0.013452225648285849,>0–1%
Contratações,Florestas e bioeconomia,AC,UF,414386772.941581,8011457143.483882,5.172427006972414,>5–10%
Contratações,Florestas e bioeconomia,AL,UF,0.0,8011457143.483882,0.0,0%
Contratações,Florestas e bioeconomia,AM,UF,622274163.141636,8011457143.483882,7.767303150935066,>5–10%
Contratações,Florestas e bioeconomia,AP,UF,74723539.550882,8011457143.483882,0.932708472536215,>0–1%
Contratações,Florestas e bioeconomia,BA,UF,124768309.567866,8011457143.483882,1.5573734881593455,>1–5%
Contratações,Florestas e bioeconomia,CE,UF,40237898.6835,8011457143.483882,0.5022544334051326,>0–1%
Contratações,Florestas e bioeconomia,DF,UF,912272840.560728,8011457143.483882,11.387102548538564,>10–20%
Contratações,Florestas e bioeconomia,ES,UF,20825546.608983,8011457143.483882,0.25994705127919776,>0–1%
Contratações,Florestas e bioeconomia,GO,UF,0.0,8011457143.483882,0.0,0%
Contratações,Florestas e bioeconomia,MA,UF,134958235.453615,8011457143.483882,1.6845654047264458,>1–5%
Contratações,Florestas e bioeconomia,MG,UF,421788842.832435,8011457143.483882,5.264820559834074,>5–10%
Contratações,Florestas e bioeconomia,MS,UF,16567763.870183,8011457143.483882,0.2068008799580035,>0–1%
Contratações,Florestas e bioeconomia,MT,UF,436340391.769906,8011457143.483882,5.446454795365203,>5–10%
Contratações,Florestas e bioeconomia,PA,UF,496081720.690052,8011457143.483882,6.192153459792768,>5–10%
Contratações,Florestas e bioeconomia,PB,UF,0.0,8011457143.483882,0.0,0%
Contratações,Florestas e bioeconomia,PE,UF,0.0,8011457143.483882,0.0,0%
Contratações,Florestas e bioeconomia,PI,UF,0.0,8011457143.483882,0.0,0%
Contratações,Florestas e bioeconomia,PR,UF,22344960.718389,8011457143.483882,0.27891256631839156,>0–1%
Contratações,Florestas e bioeconomia,RJ,UF,0.0,8011457143.483882,0.0,0%
Contratações,Florestas e bioeconomia,RN,UF,0.0,8011457143.483882,0.0,0%
