universo,bloco_tematico,territorio,tipo_territorio,valor_real_jun2026,valor_total_bloco_real_jun2026,participacao_total_bloco_pct,classe_mapa
Desembolsos,Biocombustíveis,Sem identificação territorial,Residual,0.0,1824290784.32534,0.0,0%
Desembolsos,Clima e descarbonização,AC,UF,92644.658383,10591006178.361382,0.000874748412216806,>0–1%
Desembolsos,Clima e descarbonização,AL,UF,25954847.34346,10591006178.361382,0.24506498161136642,>0–1%
Desembolsos,Clima e descarbonização,AM,UF,536686848.403112,10591006178.361382,5.067383016918861,>5–10%
Desembolsos,Clima e descarbonização,AP,UF,0.0,10591006178.361382,0.0,0%
Desembolsos,Clima e descarbonização,BA,UF,91281633.693312,10591006178.361382,0.8618787691750257,>0–1%
Desembolsos,Clima e descarbonização,CE,UF,58524829.772281,10591006178.361382,0.5525898936009859,>0–1%
Desembolsos,Clima e descarbonização,DF,UF,8467972.216529,10591006178.361382,0.07995436952751497,>0–1%
Desembolsos,Clima e descarbonização,ES,UF,16329942.360606,10591006178.361382,0.15418688352736412,>0–1%
Desembolsos,Clima e descarbonização,GO,UF,450603312.482376,10591006178.361382,4.2545845493227015,>1–5%
Desembolsos,Clima e descarbonização,MA,UF,43774471.344212,10591006178.361382,0.41331739975421955,>0–1%
Desembolsos,Clima e descarbonização,MG,UF,1601577376.696584,10591006178.361382,15.122051198202367,>10–20%
Desembolsos,Clima e descarbonização,MS,UF,86370819.588356,10591006178.361382,0.8155109923816428,>0–1%
Desembolsos,Clima e descarbonização,MT,UF,1035801481.919824,10591006178.361382,9.78001017538903,>5–10%
Desembolsos,Clima e descarbonização,PA,UF,294265289.843593,10591006178.361382,2.7784450777189624,>1–5%
Desembolsos,Clima e descarbonização,PB,UF,4830349.863638,10591006178.361382,0.04560803555668723,>0–1%
Desembolsos,Clima e descarbonização,PE,UF,47757712.234225,10591006178.361382,0.4509270548042866,>0–1%
Desembolsos,Clima e descarbonização,PI,UF,19412728.766746,10591006178.361382,0.18329447117506542,>0–1%
Desembolsos,Clima e descarbonização,PR,UF,776220999.506545,10591006178.361382,7.329058131345934,>5–10%
Desembolsos,Clima e descarbonização,RJ,UF,395415816.502265,10591006178.361382,3.7335056730506313,>1–5%
Desembolsos,Clima e descarbonização,RN,UF,900720904.186658,10591006178.361382,8.504582935915309,>5–10%
Desembolsos,Clima e descarbonização,RO,UF,8044900.065229,10591006178.361382,0.07595973347334682,>0–1%
Desembolsos,Clima e descarbonização,RR,UF,0.0,10591006178.361382,0.0,0%
Desembolsos,Clima e descarbonização,RS,UF,639598989.121727,10591006178.361382,6.039076725575893,>5–10%
Desembolsos,Clima e descarbonização,SC,UF,205095316.934298,10591006178.361382,1.9365045537725287,>1–5%
Desembolsos,Clima e descarbonização,SE,UF,4830349.863638,10591006178.361382,0.04560803555668723,>0–1%
Desembolsos,Clima e descarbonização,SP,UF,3339346640.993784,10591006178.361382,31.530022594231372,>20%
Desembolsos,Clima e descarbonização,TO,UF,0.0,10591006178.361382,0.0,0%
Desembolsos,Clima e descarbonização,Sem identificação territorial,Residual,0.0,10591006178.361382,0.0,0%
Desembolsos,Energia e eficiência,AC,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,AL,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,AM,UF,20928213.844717,3094741869.914657,0.6762507092487857,>0–1%
Desembolsos,Energia e eficiência,AP,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,BA,UF,7213962.173208,3094741869.914657,0.2331038411745448,>0–1%
Desembolsos,Energia e eficiência,CE,UF,428149.883607,3094741869.914657,0.013834752674180448,>0–1%
Desembolsos,Energia e eficiência,DF,UF,408341.880468,3094741869.914657,0.013194699190833022,>0–1%
Desembolsos,Energia e eficiência,ES,UF,6087081.530536,3094741869.914657,0.1966910904496168,>0–1%
Desembolsos,Energia e eficiência,GO,UF,4772109.357303,3094741869.914657,0.15420056204670146,>0–1%
Desembolsos,Energia e eficiência,MA,UF,877359.582098,3094741869.914657,0.02835000846523574,>0–1%
Desembolsos,Energia e eficiência,MG,UF,14065838.69695,3094741869.914657,0.45450765486098166,>0–1%
Desembolsos,Energia e eficiência,MS,UF,1611472056.02629,3094741869.914657,52.071291363332,>20%
Desembolsos,Energia e eficiência,MT,UF,7967904.084652,3094741869.914657,0.25746587016227396,>0–1%
Desembolsos,Energia e eficiência,PA,UF,15491050.209188,3094741869.914657,0.5005603329887799,>0–1%
Desembolsos,Energia e eficiência,PB,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,PE,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,PI,UF,0.0,3094741869.914657,0.0,0%
Desembolsos,Energia e eficiência,PR,UF,3855260.223831,3094741869.914657,0.12457453273598278,>0–1%
Desembolsos,Energia e eficiência,RJ,UF,11275091.786794,3094741869.914657,0.3643306052890586,>0–1%
