universo,ano,setor_bndes,valor_real,valor_fundo_clima_real_jun2026,participacao_pct
Contratações,2017,Comércio e Serviços,0.0,0.0,
Contratações,2017,Indústria,0.0,0.0,
Contratações,2017,Infraestrutura,0.0,0.0,
Contratações,2018,Agropecuária,0.0,385961074.9920358,0.0
Contratações,2018,Comércio e Serviços,74400077.43178178,385961074.9920358,19.276575347220444
Contratações,2018,Indústria,153023941.29118678,385961074.9920358,39.647506239934785
Contratações,2018,Infraestrutura,158537056.2690673,385961074.9920358,41.07591841284478
Contratações,2019,Agropecuária,0.0,138148727.82487231,0.0
Contratações,2019,Comércio e Serviços,17162751.717316773,138148727.82487231,12.423387451727795
Contratações,2019,Indústria,29316201.14837634,138148727.82487231,21.22075361094874
Contratações,2019,Infraestrutura,91669774.9591792,138148727.82487231,66.35585893732345
Contratações,2020,Agropecuária,0.0,57583567.2307332,0.0
Contratações,2020,Comércio e Serviços,182558.20472369756,57583567.2307332,0.31703177399934257
Contratações,2020,Indústria,43443796.474823385,57583567.2307332,75.44478149599038
Contratações,2020,Infraestrutura,13957212.551186115,57583567.2307332,24.238186730010266
Contratações,2021,Agropecuária,3906894.9379259874,264393498.33384532,1.4776819258213436
Contratações,2021,Comércio e Serviços,29267597.574099332,264393498.33384532,11.06971153168964
Contratações,2021,Indústria,5717278.546006095,264393498.33384532,2.1624126848940066
Contratações,2021,Infraestrutura,225501727.27581388,264393498.33384532,85.290193857595
Contratações,2022,Agropecuária,0.0,697268424.0104679,0.0
Contratações,2022,Comércio e Serviços,274710839.776569,697268424.0104679,39.39814715780746
Contratações,2022,Indústria,124086854.97199312,697268424.0104679,17.796138574336222
Contratações,2022,Infraestrutura,298470729.2619058,697268424.0104679,42.805714267856324
Contratações,2023,Agropecuária,31140936.140618987,1028582998.9149613,3.027556956849292
Contratações,2023,Comércio e Serviços,113920688.98142862,1028582998.9149613,11.075497952192682
Contratações,2023,Indústria,562793303.1794924,1028582998.9149613,54.71540009636321
Contratações,2023,Infraestrutura,320728070.6134213,1028582998.9149613,31.181544994594812
Contratações,2024,Agropecuária,97249013.18165931,7707918849.530552,1.2616766611078454
Contratações,2024,Comércio e Serviços,48896356.20639931,7707918849.530552,0.6343652179132285
Contratações,2024,Indústria,4044964266.992626,7707918849.530552,52.478033901965425
Contratações,2024,Infraestrutura,3516809213.149867,7707918849.530552,45.625924219013505
Contratações,2025,Agropecuária,765164808.0425386,9293359565.952158,8.233457476947876
Contratações,2025,Comércio e Serviços,241714852.41004965,9293359565.952158,2.6009415722556795
Contratações,2025,Indústria,3566465902.076509,9293359565.952158,38.376497506271875
Contratações,2025,Infraestrutura,4720014003.423061,9293359565.952158,50.78910344452458
